Cocktail Name,Ingredients,Preparation
Danbooka,"Everclear, Coffee, ",pour it in and mix it.
Dragonfly,"Lime, Ginger ale, Gin, ","In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
Downshift,"151 proof rum, Tequila, Sprite, Fruit punch, ","Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
Dry Rob Roy,"Lemon peel, Dry Vermouth, Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Dry Martini,"Olive, Dry Vermouth, Gin, ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Dirty Nipple,"Baileys irish cream, Sambuca, Kahlua, ",This is a layered shot - the Bailey's must be on top
Dirty Martini,"Olive, Lemon, Olive Brine, Dry Vermouth, Vodka, ","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Darkwood Sling,"Ice, Orange juice, Soda water, Cherry Heering, ","There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
Dark Caipirinha,"Cachaca, Lime, demerara Sugar, ","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Duchamp's Punch,"Lavender, Pepper, Angostura Bitters, St. Germain, Pineapple Syrup, Lime Juice, Pisco, ","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Dark and Stormy,"Ginger Beer, Dark Rum, ",In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
Damned if you do,"Hot Damn, Whiskey, ",Pour into shot glass. Put in mouth. Repeat as deemed necessary.
Dubonnet Cocktail,"Lemon peel, Bitters, Gin, Dubonnet Rouge, ",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Drinking Chocolate,"Whipped cream, Chocolate, Vanilla, Cinnamon, Milk, Heavy cream, ","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Death in the Afternoon,"Champagne, Absinthe, ","Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect."
Egg Cream,"Soda water, Milk, Chocolate syrup, ","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,"Nutmeg, Sugar, Egg white, Whipping cream, Salt, Vanilla extract, Bourbon, Light rum, Milk, Sugar, Egg yolk, ","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
English Highball,"Lemon peel, Carbonated water, Sweet Vermouth, Gin, Brandy, ","Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
Espresso Martini,"Sugar syrup, Kahlua, Vodka, ","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Espresso Rumtini,"Coffee, Espresso, Vanilla syrup, Rum, ",Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans
Egg Nog - Healthy,"Nutmeg, Rum, Vanilla extract, Milk, Condensed milk, Sugar, Egg, ","Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
English Rose Cocktail,"Cherry, Lemon juice, Grenadine, Dry Vermouth, Gin, Apricot brandy, ",Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
Egg-Nog - Classic Cooked,"Vanilla extract, Milk, Salt, Sugar, Egg, ","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
Empellón Cocina's Fat-Washed Mezcal,"Coffee liqueur, Chocolate liqueur, Mezcal, ","To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture."
Frappé,"Sugar, Milk, Coffee, ","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Foxy Lady,"Light cream, Creme de Cacao, Amaretto, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
French 75,"Maraschino cherry, Orange, Champagne, Lemon juice, Sugar, Gin, ","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
Frisco Sour,"Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey, ",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
Fruit Shake,"Ice, Fruit, Orange juice, Banana, Yoghurt, ",Blend til smooth.
Figgy Thyme,"Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka, ","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme."
Fruit Cooler,"Ice, Soda water, Apple, Lemon, Sugar, Strawberries, Apple juice, ","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
Freddy Kruger,"Vodka, Sambuca, Jägermeister, ",make it an ample size shot!!
Fuzzy Asshole,"Peach schnapps, Coffee, ",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
Funk and Soul,"Soda Water, lemon, Pomegranate juice, Apricot Nectar, Rum, ",Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.
French Martini,"pineapple juice, Raspberry Liqueur, Vodka, ",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
French Negroni,"Orange Peel, Sweet Vermouth, Lillet, Gin, ","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
Flying Dutchman,"Triple sec, Gin, ","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
Frozen Daiquiri,"Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum, ","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
Fruit Flip-Flop,"Fruit juice, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Fahrenheit 5000,"Tabasco sauce, Absolut Peppar, Firewater, ",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
Flying Scotchman,"Sugar syrup, Bitters, Sweet Vermouth, Scotch, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
French Connection,"Amaretto, Cognac, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
Flaming Dr. Pepper,"Beer, Dr. Pepper, 151 proof rum, Vodka, Amaretto, ","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
Flander's Flake-Out,"Sarsaparilla, Sambuca, ",Bang 'em both in.
Flaming Lamborghini,"Baileys irish cream, Blue Curacao, Sambuca, Kahlua, ","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
Frozen Mint Daiquiri,"Sugar, Mint, Lime juice, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
Frozen Pineapple Daiquiri,"Sugar, Lime juice, Pineapple, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
GG,"Ice, Ginger ale, Galliano, ",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
Gimlet,"Lime, Sugar Syrup, Lime Juice, Gin, ","Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel."
Gin Fizz,"Carbonated water, Powdered sugar, Lemon, Gin, ","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
Gin Sour,"Maraschino cherry, Orange, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Godchild,"Heavy cream, Amaretto, Vodka, ","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
Gin Daisy,"Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
Gin Sling,"Orange peel, Water, Powdered sugar, Lemon, Gin, ",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
Gin Smash,"Cherry, Orange, Mint, Sugar, Carbonated water, Gin, ","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
Gin Toddy,"Lemon peel, Powdered sugar, Water, Gin, ","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
Godfather,"Amaretto, Scotch, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
Godmother,"Amaretto, Vodka, ",Pour vodka and amaretto into an old-fashioned glass over ice and serve.
Gagliardo,"Sirup of roses, Galliano, Lemon juice, Peach Vodka, ","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
Gluehwein,"Lemon peel, Cloves, Cinnamon, Sugar, Water, Red wine, ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Greyhound,"Grapefruit Juice, Vodka, ","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

"
Gin Cooler,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
Gin Squirt,"Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
Grand Blue,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ",Serve in an old fashioned glass.
Gin Rickey,"Lime, Soda Water, lemon, Grenadine, Gin, ",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
Gin Swizzle,"Club soda, Bitters, Gin, Sugar, Lime juice, ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
Grass Skirt,"Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
Grim Reaper,"Grenadine, 151 proof rum, Kahlua, ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
Grasshopper,"Light cream, Creme de Cacao, Green Creme de Menthe, ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
Grizzly Bear,"Milk, Kahlua, Jägermeister, Amaretto, ","Served over ice. Sounds nasty, but tastes great."
Green Goblin,"Blue Curacao, Lager, Cider, ","Cider First, Lager then Curacao"
Golden dream,"Cream, orange juice, Triple Sec, Galliano, ",Shake with cracked ice. Strain into glass and serve.
H.D.,"Coffee, Baileys irish cream, Whisky, ",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
Honey Bee,"Lemon Juice, Honey, White Rum, ","Shake ingredients with crushed ice
"
Herbal flame,"Tea, Hot Damn, ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
Horse's Neck,"Bitters, Ginger ale, Brandy, Lemon peel, ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
Happy Skipper,"Ice, Lime, Ginger ale, Spiced rum, ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
Hunter's Moon,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange."
Havana Cocktail,"Lemon juice, Pineapple juice, Light rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Holloween Punch,"Sherbet, Sherbet, Carbonated soft drink, Grape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
Hot Creamy Bush,"Coffee, Baileys irish cream, Irish whiskey, ",Combine all ingredients in glass
Homemade Kahlua,"Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
Halloween Punch,"Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass."
Harvey Wallbanger,"Orange juice, Galliano, Vodka, ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
Hawaiian Cocktail,"Pineapple juice, Triple sec, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Hemingway Special,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ",Pour all ingredients into a shaker with ice. Shake.
Highland Fling Cocktail,"Olive, Orange bitters, Sweet Vermouth, Scotch, ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
Hot Chocolate to Die for,"Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate, ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Ipamena,"Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
Iced Coffee,"Milk, Water, Sugar, Coffee, ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
Irish Cream,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ",Mix scotch and milk. Add half-and-half. Add rest.
Ice Pick #1,"Lemon juice, Iced tea, Vodka, ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.
Irish Spring,"Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
Irish Coffee,"Whipped cream, Sugar, Coffee, Irish whiskey, ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
